donor_id,donation_amount,donation_date,account_type,donation_source
0014T00000Fx05s,25.75,2021-03-18,Core,Ads
0014T00000Oz1Pd,19.57,2022-04-08,Core,Ads
0014T00000Fx05s,25.75,2021-04-18,Core,Ads
0014T00000Oz1SM,51.5,2022-04-08,Core,Ads
0014T000008Tcrt,12,2021-04-06,Core,Ads
0014T0000050fhg,20,2021-01-27,Core,Email
0014T00000Fx05s,25.75,2021-05-18,Core,Ads
0014T0000050fhg,20,2021-02-27,Core,Email
0014T00000Fx05s,25.75,2021-06-18,Core,Ads
0014T000004xiFj,25,2022-03-04,Core,Website
0014T0000050fhg,20,2021-03-27,Core,Email
0014T00000Fx05s,25.75,2021-07-18,Core,Ads
0014T00000ON4Oj,50,2022-03-04,Core,Ads
0014T00000IYht6,10,2021-11-14,Core,Ads
0014T0000050fhg,20,2021-04-27,Core,Email
0014T00000Fx05s,25.75,2021-08-18,Core,Ads
0014T00000QdsWO,25.75,2022-04-22,Core,Ads
0014T00000D47On,15.45,2022-01-12,Core,Website
0014T00000OzOYh,51.5,2022-05-15,Core,Website
0014T00000IYht6,10,2021-12-14,Core,Ads
0014T0000050fhg,20,2021-05-27,Core,Email
0014T00000QdsWO,25.75,2022-03-22,Core,Ads
0014T00000IYht6,10,2022-01-14,Core,Ads
0014T0000050fhg,20,2021-06-27,Core,Email
0014T00000Ozswb,25,2022-03-24,Core,Ads
0014T00000EH4zz,20.6,2021-03-01,Core,Website
0014T00000QdFVe,103,2022-05-15,Core,Ads
0014T00000IYht6,10,2022-05-14,Core,Ads
0014T0000050fhg,20,2021-07-27,Core,Email
0014T00000EH4zz,20.6,2022-03-01,Core,Website
0014T0000050fhg,20,2021-08-27,Core,Email
0014T000004xYmx,25,2021-12-20,Core,Ads
0014T00000Ozswf,30.9,2022-03-24,Core,Website
0014T00000EH4zz,20.6,2022-04-01,Core,Website
0014T000008TtHe,10.3,2021-05-06,Core,Website
0014T0000050hdf,15,2021-01-06,Core,Ads
0014T00000K5DoJ,12,2021-12-20,Core,Ads
0014T00000EFDA6,25,2022-03-24,Core,Ads
0014T00000EH4zz,20.6,2021-04-01,Core,Website
0014T000008Tcrt,12,2021-07-06,Core,Ads
0014T0000050hdf,15,2021-02-06,Core,Ads
0014T000004yHBy,25,2022-04-16,Core,Website
0014T000004z3Nv,51.5,2021-12-20,Core,Ads
0014T00000Ozswh,15.45,2022-03-24,Core,Website
0014T00000EH4zz,20.6,2021-05-01,Core,Website
0014T00000N71Pd,25,2021-12-20,Core,Ads
0014T00000N8Y2C,15,2022-03-08,Core,Website
0014T00000EH4zz,20.6,2021-06-01,Core,Website
0014T00000EH4zz,20.6,2021-07-01,Core,Website
0014T00000N8HZi,15,2021-11-04,Core,Website
0014T00000Ayy4m,20,2021-02-10,Core,Website
0014T00000N5ngT,25,2022-05-03,Core,Ads
0014T00000APC8X,25,2021-01-16,Core,Website
0014T00000Ayy4m,20,2021-03-10,Core,Website
0014T00000D4TJ2,103,2021-04-13,Mid-Level,Website
0014T00000APC8X,25,2021-02-16,Core,Website
0014T000004kIku,15,2021-01-14,Core,Website
0014T00000Ayy4m,20,2021-04-10,Core,Website
0014T00000D4TJ2,103,2021-05-13,Mid-Level,Website
0014T00000APC8X,25,2021-03-16,Core,Website
0014T000004kIku,15,2021-02-14,Core,Website
0014T00000D4TJ2,154.5,2021-06-13,Mid-Level,Website
0014T00000APC8X,25,2021-04-16,Core,Website
0014T000004kIku,15,2021-03-14,Core,Website
0014T00000N8JKz,51.5,2021-12-07,Core,Website
0014T00000D4TJ2,154.5,2021-07-13,Mid-Level,Website
0014T00000APC8X,25,2021-05-16,Core,Website
0014T000004kIku,15,2021-04-14,Core,Website
0014T00000N8JKz,51.5,2021-11-07,Core,Website
0014T00000PslMz,50,2022-04-22,Core,Website
0014T00000D4TJ2,154.5,2021-08-13,Mid-Level,Website
